scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Hotdog,3,0.09121,29.70613,0.939834,0.032806583,"[0.00019385207269806415, 0.007369966711848974, 0.12785981595516205, 0.1865682154893875, 0.20907658338546753, 0.19676338136196136, 0.15724988281726837, 0.10343799740076065, 0.008924380876123905, 0.0025559747591614723]"
Hotdog,5,0.094387,29.47478,0.937128,0.025932031,"[0.007348473649471998, 0.04560357704758644, 0.10998975485563278, 0.15885932743549347, 0.19834545254707336, 0.2043837308883667, 0.21748249232769012, 0.052502699196338654, 0.0030159750021994114, 0.002468479098752141]"
Hotdog,10,0.08674,30.21244,0.94477,0.045219075,"[0.00021183125500101596, 0.005489191971719265, 0.12849406898021698, 0.18362544476985931, 0.21396328508853912, 0.19389936327934265, 0.15344417095184326, 0.09595029801130295, 0.02359154261648655, 0.0013308533234521747]"
Hotdog,15,0.09178,29.61387,0.939343,0.055536725,"[0.0021725993137806654, 0.008424222469329834, 0.10527035593986511, 0.19814537465572357, 0.2259863168001175, 0.18941181898117065, 0.1497654914855957, 0.09795401990413666, 0.020459845662117004, 0.0024100025184452534]"
Hotdog,22,0.08868,29.9853,0.942041,0.041557297,"[0.0005037292139604688, 0.0021784091368317604, 0.12625044584274292, 0.18018925189971924, 0.22756652534008026, 0.18631795048713684, 0.14820243418216705, 0.09935848414897919, 0.027064397931098938, 0.002368411049246788]"
Hotdog,23,0.083329,30.82447,0.948219,0.048238389,"[0.0007022907375358045, 0.031154293566942215, 0.10258019715547562, 0.17118440568447113, 0.21021781861782074, 0.21226216852664948, 0.16594423353672028, 0.10356926918029785, 0.0014461369719356298, 0.0009391580242663622]"
Hotdog,31,0.094247,29.40155,0.936857,0.02755638,"[0.00048404786502942443, 0.05684433504939079, 0.12063658237457275, 0.17987151443958282, 0.20012249052524567, 0.19442589581012726, 0.17683881521224976, 0.06644298136234283, 0.00250585307367146, 0.0018275275360792875]"
Hotdog,38,0.087379,30.20037,0.944566,0.028104229,"[0.008263542316854, 0.07887361198663712, 0.13105113804340363, 0.17913620173931122, 0.19277891516685486, 0.186613991856575, 0.1502203494310379, 0.06904184073209763, 0.002383460523560643, 0.0016369936056435108]"
Hotdog,41,0.093175,29.55927,0.938013,0.024131674,"[0.017478587105870247, 0.05192399024963379, 0.11886192113161087, 0.16261018812656403, 0.19845280051231384, 0.19895191490650177, 0.20260964334011078, 0.0436132550239563, 0.002979556331411004, 0.0025180212687700987]"
Hotdog,47,0.092096,29.64011,0.938169,0.038262066,"[0.00022508770052809268, 0.005305636208504438, 0.12309879809617996, 0.18556872010231018, 0.20948010683059692, 0.19743399322032928, 0.1558249294757843, 0.10560234636068344, 0.01585661806166172, 0.0016037492314353585]"
Hotdog,49,0.087231,30.18569,0.944744,0.04295364,"[0.0004580382665153593, 0.0022679565008729696, 0.13057203590869904, 0.18426468968391418, 0.2238163948059082, 0.18687070906162262, 0.1465633511543274, 0.09747320413589478, 0.02614375576376915, 0.0015697815688326955]"
Hotdog,53,0.089623,30.14297,0.94096,0.050206579,"[0.0011896274518221617, 0.02461867779493332, 0.11190535873174667, 0.1641024947166443, 0.2057158648967743, 0.20562615990638733, 0.21390633285045624, 0.06970185786485672, 0.0021904250606894493, 0.001043284428305924]"
Hotdog,54,0.091553,29.82855,0.94015,0.054078873,"[0.005518174264580011, 0.014229163527488708, 0.07259643077850342, 0.21001866459846497, 0.22106271982192993, 0.2165500670671463, 0.15039029717445374, 0.0833776518702507, 0.020549185574054718, 0.00570770213380456]"
Hotdog,70,0.092275,29.59786,0.939487,0.04499761,"[0.0019331872463226318, 0.005076673813164234, 0.1166319027543068, 0.17913486063480377, 0.22802284359931946, 0.19665402173995972, 0.15712475776672363, 0.09307783097028732, 0.01865825615823269, 0.0036856543738394976]"
Hotdog,79,0.091027,29.84066,0.939067,0.062516421,"[0.005686580203473568, 0.020553838461637497, 0.07323545962572098, 0.21477104723453522, 0.22625775635242462, 0.22064149379730225, 0.1401204764842987, 0.07156705856323242, 0.020597515627741814, 0.006568829994648695]"
Hotdog,89,0.086149,30.55908,0.94631,0.053640783,"[0.0011031380854547024, 0.02906770072877407, 0.10288270562887192, 0.17270126938819885, 0.2090248018503189, 0.2110353410243988, 0.14844226837158203, 0.11748430877923965, 0.007285725325345993, 0.0009727672440931201]"
Hotdog,91,0.088149,30.29229,0.944917,0.054263879,"[0.0005207633948884904, 0.029717111960053444, 0.1018904373049736, 0.18336457014083862, 0.21249964833259583, 0.1996930092573166, 0.1605687290430069, 0.09414058923721313, 0.016496440395712852, 0.0011087220627814531]"
Hotdog,93,0.087573,30.07393,0.944108,0.04595631,"[0.0002600028528831899, 0.00234002573415637, 0.1307573765516281, 0.18261846899986267, 0.22287039458751678, 0.18856485188007355, 0.15421059727668762, 0.09285954385995865, 0.024353602901101112, 0.0011651980457827449]"
Hotdog,97,0.089845,30.37834,0.942685,0.07098183,"[0.0036924334708601236, 0.02355758287012577, 0.09838331490755081, 0.19493114948272705, 0.23461957275867462, 0.2065528929233551, 0.16195054352283478, 0.06471870094537735, 0.008040988817811012, 0.003552832640707493]"
Hotdog,98,0.09381,29.39159,0.937446,0.040003929,"[0.0002528640616219491, 0.037914060056209564, 0.1092645451426506, 0.18182878196239471, 0.2070179432630539, 0.19784480333328247, 0.1778062880039215, 0.08457333594560623, 0.0020540335681289434, 0.0014432709431275725]"
Chair,3,0.087799296,27.42555809,0.933627129,0.06520202,"[0.014498629607260227, 0.039815280586481094, 0.11545724421739578, 0.1336365044116974, 0.20083960890769958, 0.24767360091209412, 0.1936952769756317, 0.04479740932583809, 0.005793854594230652, 0.0037925955839455128]"
Chair,5,0.091619797,26.78878784,0.928632081,0.089452557,"[0.004104398190975189, 0.012555060908198357, 0.06395530700683594, 0.2566568851470947, 0.2081955373287201, 0.2546265125274658, 0.16436654329299927, 0.018777616322040558, 0.009865211322903633, 0.006896857172250748]"
