scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Hotdog,3,0.09121,29.70613,0.939834,0.032806583,"[6.662411760771647e-05, 0.0006872803787700832, 0.1317719966173172, 0.2554614245891571, 0.2711777091026306, 0.21600592136383057, 0.09700120985507965, 0.004228878300637007, 0.0024931447114795446, 0.001907553756609559, 0.01919826678931713]"
Hotdog,5,0.094387,29.47478,0.937128,0.025932031,"[0.01843940280377865, 0.0818207785487175, 0.17530938982963562, 0.23924653232097626, 0.25928178429603577, 0.19965101778507233, 0.00434361444786191, 0.0031047994270920753, 0.003039598697796464, 0.0017573164077475667, 0.01400575041770935]"
Hotdog,10,0.08674,30.21244,0.94477,0.045219075,"[6.309205491561443e-05, 0.00022532875300385058, 0.02415073662996292, 0.21449494361877441, 0.3127022385597229, 0.2586188316345215, 0.15067733824253082, 0.01726018264889717, 0.0018251629080623388, 0.0013654922368004918, 0.018616661429405212]"
Hotdog,15,0.09178,29.61387,0.939343,0.055536725,"[0.00036278649349696934, 0.0017999790143221617, 0.012013813480734825, 0.2023441642522812, 0.32241252064704895, 0.2545923888683319, 0.15700282156467438, 0.019499773159623146, 0.0016046324744820595, 0.0009837094694375992, 0.02738340198993683]"
Hotdog,22,0.08868,29.9853,0.942041,0.041557297,"[0.00010401046893093735, 0.0003813717339653522, 0.0024355784989893436, 0.20140761137008667, 0.3209633231163025, 0.26283445954322815, 0.16340045630931854, 0.028555208817124367, 0.002335901837795973, 0.001373804989270866, 0.01620829850435257]"
Hotdog,23,0.083329,30.82447,0.948219,0.048238389,"[0.00015364399587269872, 0.000404326303396374, 0.03453755006194115, 0.17992520332336426, 0.29844537377357483, 0.27789750695228577, 0.1796664297580719, 0.0018599008908495307, 0.0012170221889391541, 0.0009946427308022976, 0.024898413568735123]"
Hotdog,31,0.094247,29.40155,0.936857,0.02755638,"[0.00730988010764122, 0.09609116613864899, 0.20740291476249695, 0.2459162473678589, 0.2359059453010559, 0.17993998527526855, 0.006256843917071819, 0.0023063430562615395, 0.0017992060165852308, 0.001682919799350202, 0.015388540923595428]"
Hotdog,38,0.087379,30.20037,0.944566,0.028104229,"[0.024616193026304245, 0.11912673711776733, 0.21049055457115173, 0.2412399798631668, 0.21779979765415192, 0.15517301857471466, 0.008494861423969269, 0.0020476109348237514, 0.0016598786460235715, 0.0016502655344083905, 0.017701100558042526]"
Hotdog,41,0.093175,29.55927,0.938013,0.024131674,"[0.02695675939321518, 0.09709793329238892, 0.18171092867851257, 0.24279874563217163, 0.25228336453437805, 0.1731843203306198, 0.004158567637205124, 0.0031759135890752077, 0.0026275988202542067, 0.0018174480646848679, 0.014188417233526707]"
Hotdog,47,0.092096,29.64011,0.938169,0.038262066,"[1.970148332475219e-05, 0.00017337304598186165, 0.013030560687184334, 0.20670795440673828, 0.3089231848716736, 0.27129337191581726, 0.16607561707496643, 0.013491575606167316, 0.001958327367901802, 0.0015209545381367207, 0.016805365681648254]"
Hotdog,49,0.087231,30.18569,0.944744,0.04295364,"[9.593120921636e-05, 0.0002921541454270482, 0.002197696827352047, 0.20085814595222473, 0.32159629464149475, 0.26463496685028076, 0.1630612462759018, 0.027379639446735382, 0.0019055426819249988, 0.0016133885364979506, 0.016364991664886475]"
Hotdog,53,0.089623,30.14297,0.94096,0.050206579,"[0.0002719420299399644, 0.0008158261189237237, 0.02487117238342762, 0.18288792669773102, 0.2877423167228699, 0.30652016401290894, 0.17081646621227264, 0.0026963744312524796, 0.0012629172997549176, 0.0008204352925531566, 0.021294444799423218]"
Hotdog,54,0.091553,29.82855,0.94015,0.054078873,"[0.003203645581379533, 0.005923982243984938, 0.016308212652802467, 0.17372871935367584, 0.3033590018749237, 0.28448233008384705, 0.14195463061332703, 0.0226878859102726, 0.005088549107313156, 0.002920564729720354, 0.040342457592487335]"
Hotdog,70,0.092275,29.59786,0.939487,0.04499761,"[0.0003669295401778072, 0.0017123378347605467, 0.006955707911401987, 0.21403159201145172, 0.30808255076408386, 0.2657527029514313, 0.15572702884674072, 0.018245438113808632, 0.0033874509390443563, 0.0019675930961966515, 0.02377065271139145]"
Hotdog,79,0.091027,29.84066,0.939067,0.062516421,"[0.0037479144521057606, 0.006528625264763832, 0.021657302975654602, 0.15614698827266693, 0.31700101494789124, 0.27864333987236023, 0.12134376913309097, 0.02300332859158516, 0.005988602992147207, 0.0034496933221817017, 0.06248942017555237]"
Hotdog,89,0.086149,30.55908,0.94631,0.053640783,"[0.00024351992760784924, 0.0008036157814785838, 0.029646117240190506, 0.173956036567688, 0.2952776551246643, 0.28710514307022095, 0.17604056000709534, 0.00835273414850235, 0.0011835069162771106, 0.0007062078220769763, 0.026684913784265518]"
Hotdog,91,0.088149,30.29229,0.944917,0.054263879,"[0.00010339348227716982, 0.000451666273875162, 0.04642367362976074, 0.19356347620487213, 0.2994873821735382, 0.26858362555503845, 0.15066607296466827, 0.012423543259501457, 0.0012624888913705945, 0.0009686336852610111, 0.026066040620207787]"
Hotdog,93,0.087573,30.07393,0.944108,0.04595631,"[6.122948980191723e-05, 0.00016484862135257572, 0.001888694241642952, 0.19945740699768066, 0.32148778438568115, 0.2664424777030945, 0.1633838266134262, 0.024892142042517662, 0.0014836376067250967, 0.0015919667202979326, 0.019145989790558815]"
Hotdog,97,0.089845,30.37834,0.942685,0.07098183,"[0.0014512103516608477, 0.003392607206478715, 0.023748250678181648, 0.1735905557870865, 0.31365492939949036, 0.27409815788269043, 0.1268099844455719, 0.009313545189797878, 0.00337325781583786, 0.0018317499198019505, 0.068735770881176]"
