scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Hotdog,3,0.09121,29.70613,0.939834,0.032806583,"[1.0519597708480433e-05, 5.6104523537214845e-05, 0.00013324823521543294, 0.0005540321581065655, 0.038038864731788635, 0.09373312443494797, 0.11190398037433624, 0.14355744421482086, 0.13898493349552155, 0.13219277560710907, 0.11915197968482971, 0.09685394167900085, 0.07555175572633743, 0.021449459716677666, 0.0024580794852226973, 0.0017707990482449532, 0.001371054328046739, 0.0011220904998481274, 0.000999361858703196, 0.0009081919561140239, 0.01919826678931713]"
Hotdog,5,0.094387,29.47478,0.937128,0.025932031,"[0.0003601567295845598, 0.018079247325658798, 0.02543451637029648, 0.05638626217842102, 0.07812917232513428, 0.09718021750450134, 0.11330344527959824, 0.12594307959079742, 0.1261449009180069, 0.13313689827919006, 0.1339658796787262, 0.06568513810634613, 0.0024807346053421497, 0.0018628796096891165, 0.0016113908495754004, 0.0014934084611013532, 0.0015306661371141672, 0.0015089325606822968, 0.0009749070159159601, 0.0007824094500392675, 0.01400575041770935]"
Hotdog,10,0.08674,30.21244,0.94477,0.045219075,"[1.802629958547186e-05, 4.5065749873174354e-05, 7.661177369300276e-05, 0.00014871697931084782, 0.0004686838074121624, 0.02368205226957798, 0.09877060353755951, 0.1157243400812149, 0.1597355604171753, 0.1529666781425476, 0.13832932710647583, 0.12028950452804565, 0.08968084305524826, 0.06099649518728256, 0.016259722411632538, 0.001000459655188024, 0.0009779267711564898, 0.000847236136905849, 0.0007480914937332273, 0.0006174008012749255, 0.018616661429405212]"
Hotdog,15,0.09178,29.61387,0.939343,0.055536725,"[0.00011162660666741431, 0.0002511598577257246, 0.0005023197154514492, 0.0012976593570783734, 0.0023022987879812717, 0.00971151515841484, 0.07423867285251617, 0.12810549139976501, 0.16389577090740204, 0.1585167646408081, 0.13903792202472687, 0.11555446684360504, 0.09585237503051758, 0.0611504502594471, 0.016841664910316467, 0.002658108714967966, 0.0010255695087835193, 0.0005790630239062011, 0.0005790630239062011, 0.00040464644553139806, 0.02738340198993683]"
Hotdog,22,0.08868,29.9853,0.942041,0.041557297,"[4.767146674566902e-05, 5.6339005823247135e-05, 0.00012567931844387203, 0.0002556924009695649, 0.0005937264068052173, 0.0018418520921841264, 0.08373276144266129, 0.11767484247684479, 0.1560460478067398, 0.16491727530956268, 0.13981173932552338, 0.12302272021770477, 0.09502223134040833, 0.06837821751832962, 0.026288647204637527, 0.0022665616124868393, 0.0013824724592268467, 0.0009534293203614652, 0.0006500654271803796, 0.0007237395038828254, 0.01620829850435257]"
Hotdog,23,0.083329,30.82447,0.948219,0.048238389,"[5.256241638562642e-05, 0.0001010815758490935, 0.00012938441068399698, 0.0002749418781604618, 0.0010997675126418471, 0.033437784761190414, 0.0713069811463356, 0.10861821472644806, 0.14010310173034668, 0.15834225714206696, 0.1570160686969757, 0.12088143080472946, 0.12323460727930069, 0.05643181875348091, 0.0010916809551417828, 0.0007682199357077479, 0.0006509653176181018, 0.0005660568131133914, 0.0005134943639859557, 0.0004811482795048505, 0.024898413568735123]"
Hotdog,31,0.094247,29.40155,0.936857,0.02755638,"[6.460344593506306e-05, 0.007245276588946581, 0.04190502688288689, 0.0541861429810524, 0.09602010250091553, 0.11138280481100082, 0.12339581549167633, 0.12252043932676315, 0.1258830428123474, 0.1100229024887085, 0.10967404395341873, 0.07026916742324829, 0.004800036083906889, 0.0014535775408148766, 0.0012565370416268706, 0.0010498060146346688, 0.0008721465710550547, 0.0009270595037378371, 0.0008269241079688072, 0.0008559956913813949, 0.015388540923595428]"
Hotdog,38,0.087379,30.20037,0.944566,0.028104229,"[0.0003300530952401459, 0.024286139756441116, 0.053555119782686234, 0.0655716136097908, 0.09885571151971817, 0.11163485050201416, 0.12101732939481735, 0.12022264301776886, 0.11937668174505234, 0.09842311590909958, 0.09282823652029037, 0.062344785779714584, 0.007113765925168991, 0.001381095964461565, 0.0011151308426633477, 0.0009324800921604037, 0.0009068449144251645, 0.0007530337898060679, 0.0008171217632479966, 0.000833143712952733, 0.017701100558042526]"
Hotdog,41,0.093175,29.55927,0.938013,0.024131674,"[0.003696504747495055, 0.02326025627553463, 0.03204561397433281, 0.0650523230433464, 0.08213325589895248, 0.09957767277956009, 0.1156235858798027, 0.12717516720294952, 0.12212327122688293, 0.13016009330749512, 0.12332771718502045, 0.049856606870889664, 0.0023318782914429903, 0.0018266893457621336, 0.0016695879166945815, 0.0015063256723806262, 0.001321500400081277, 0.001306098303757608, 0.0010288604535162449, 0.0007885876693762839, 0.014188417233526707]"
Hotdog,47,0.092096,29.64011,0.938169,0.038262066,"[7.880593329900876e-06, 1.1820889994851314e-05, 5.122385482536629e-05, 0.00012214919843245298, 0.0003428058116696775, 0.012687754817306995, 0.09594228118658066, 0.11076568067073822, 0.1574660688638687, 0.15145711600780487, 0.14570823311805725, 0.12558513879776, 0.09308556467294693, 0.0729900524020195, 0.012171576730906963, 0.0013199993409216404, 0.0010796412825584412, 0.0008786861435510218, 0.0007092534215189517, 0.000811701116617769, 0.016805365681648254]"
